,V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,V1_Vehicle,V2_Driver_,Pedalcycli,Pedestrian,Motorcycli,V1_Type
8896,3.0,12.0,0.0,0.0,0.0,3.0,12.0,0.0,3.0,1.15666666666667,2.0,2.0,1.0,4.0,,,,,,
8897,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.19166666666667,2.0,1.0,1.0,0.0,,,,,,
8898,2.0,3.0,0.0,3.0,0.0,2.0,12.0,0.0,2.0,1.03,2.02756688963211,0.0,0.0,4.0,,,,,,
8899,1.0,6.0,4.0,0.0,0.0,1.0,3.0,4.0,2.0,1.02,2.01965382028891,0.0,0.0,7.0,,,,,,
8900,3.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0675,2.0,1.0,1.0,0.0,,,,,,
8901,0.0,3.0,0.0,3.50715609085534,0.0,0.0,12.0,0.0,2.0,1.11,2.15568501063113,0.0,0.0,4.0,,,,,,
8902,3.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,1.1,2.0,2.0,1.0,4.0,,,,,,
8903,2.0,3.0,2.0,0.0,0.0,2.0,12.0,2.0,2.0,1.05,2.06931656627145,0.0,0.0,4.0,,,,,,
8904,3.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.04,2.04726997164301,0.0,0.0,0.0,,,,,,
8905,1.0,3.0,1.0,0.0,0.0,1.0,12.0,1.0,2.0,1.01,2.0,2.0,1.0,4.0,,,,,,
8906,0.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,1.01,2.08848129691856,0.0,0.0,7.0,,,,,,
8907,1.0,14.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,1.1135,2.0,4.0,1.0,0.0,,,,,,
8908,0.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,1.14166666666667,2.0,1.0,1.0,0.0,,,,,,
8909,1.0,6.0,3.0,0.0,0.0,1.0,3.0,3.0,2.0,1.085,2.0,1.0,1.0,0.0,,,,,,
8910,0.0,10.0,0.0,3.6948031820053,0.0,0.0,12.0,0.0,2.0,1.05,2.06036980749747,0.0,0.0,7.0,,,,,,
8911,1.0,16.0,1.0,5.34015569548081,0.0,1.0,3.0,1.0,2.0,1.03,1.98719597371027,0.0,0.0,7.0,,,,,,
8912,2.0,3.0,1.0,0.0,0.0,2.0,3.0,1.0,3.0,1.12666666666667,2.0,1.0,1.0,4.0,,,,,,
