"X","V1_Dir","V1_Action","V1_Lane_Nu","V1_Driver1","V1_Vehicle","V2_Driver1","V2_Dir","V2_Action","V2_Lane_Nu","V2_Driver_","Total_Vehi","Fatalities","Injury_Typ","Injured","Property_D","Crash_Type","Pedalcycli","Pedestrian","Motorcycli","V1_Type"
9827,2,15,0,0,244,0,2,12,0,23,2,1.04,2.15397574887099,0,0,4,1,1,1,39
9828,1,3,0,0,244,0,1,12,0,55,2,1.07,2,1,1,4,1,1,1,34
9829,2,14,0,0,115,0,3,3,0,17,2,1.23166666666667,0,3,1,0,1,1,1,34
9830,2,12,4,0,265,0,2,12,4,59,2,1.03,2.04168239171748,0,0,7,1,1,1,39
9831,3,16,2,0,199,0,3,9,2,23,2,1.18166666666667,2,3,1,6,1,1,1,34
9832,3,14,0,0,115,0,0,3,0,19,2,1.065,2,1,1,0,1,1,1,49
9833,2,3,4,24,35,0,2,3,4,39,2,1.12666666666667,2.08272931562819,0,0,4,1,1,1,34
9834,2,3,1,0,35,0,2,12,1,45,3,1.14666666666667,2,2,1,4,1,1,1,34
9835,1,14,0,0,115,0,2,3,0,16,2,1.16,2,1,1,0,1,1,1,12
9836,3,3,2,0,163.749594460483,2.5444,3,1,2,0,2,1.11166666666667,1.91125,0,0,3,1,1,1,39
9837,2,3,0,0,115,0,3,3,0,41,2,1.235,0,2,1,0,1,1,1,7
9838,1,3,1,0,168.554012009104,0.303137477858408,1.13232873028678,6.03537321329794,0,0,1,1,2.17509767779219,0,0,3,1,1,1,39
9839,2,6,2,5.25613675497209,194,0,2,3,2,31,2,1.05,2.08855592518884,0,0,7,1,1,1,33.8838276414354
9840,1,3,0,0,135.785439427805,0,3,12,0,72,2,1.225,2.07081141423995,0,0,0,1,1,1,34
9841,3,6,0,3,179,-4.97171748214953e-17,2.2201202020202,5.86752573775989,0,0,1,1.02,2,1,1,3,1,1,1,21
9842,1,1,3,0,267,0,1,3,3,54,2,1.04,2.12384293740456,0,0,0,1,1,1,39
9843,2,3,0,17,179,0.0216416510318949,1.98666624148145,8.41444940725984,0,0,1,1.01,2.1502367381061,0,0,3,1,1,1,39
9844,1,3,4,0,185,0,1,3,4,35,2,1.03,2.15497442648011,0,0,4,1,1,1,39
9845,3,3,0,0,185,0,3,12,0,0,2,1.07166666666667,2.11848076923077,0,0,4,1,1,1,39
9846,0,3,0,0,179,0.08,0.382102524640114,6.88589131701632,0,0,1,1,1,1,1,3,1,1,1,7
9847,1,3,3,1,194,0,1,12,3,33,2,1.05,2,1,1,4,1,1,1,39
9848,1,3,2,0,35,0,1,12,2,25,2,1.09,2.17005833587246,0,0,4,1,1,1,39
9849,2,6,3,1,157,0,0,3,3,46,2,1.03,2.00647632056124,0,0,0,1,1,1,39
9850,1,15,0,0,115,0,0,3,0,34,2,1.1225,2,1,1,0,1,1,1,7
9851,1,3,4,0,35,0,1,3,4,68,2,1.08,2.17573970523858,0,0,4,1,1,1,39
9852,2,3,0,0,0,0,0,13,0,52,2,1.25666666666667,2,1,1,1,1,1,1,39
9853,1.09911904761905,3,3,2.39759058546051,154.592855483835,0,1,7,3,21,2,1.03,2.07442647489682,0,0,7,1,1,1,37
9854,2,3,0,0,244,0,2,12,0,55,2,1.05,2.16904332095147,0,0,4,1,1,1,39
9855,2,15,0,0,115,0,2,3,0,0,2,1.07,2.14656597222222,0,0,0,1,1,1,49
9856,2,3,0,3.50193720908746,179,0.0411538461538461,1.87154541798003,8.55417268681141,0,0,1,1,2.10509090909091,0,0,3,1,1,1,19
9857,1,3,0,8,35,0,1,12,0,23,2,1.07,2.01252820456939,0,0,4,1,1,1,21
9858,1,3,0,4.29938712011577,194,0,2,13,0,60,2,1.155,2.0878837823524,0,0,0,1,1,1,34.0181125741633
9859,1,15,0,0,244,0,1,12,0,51,2,1.08,2,1,1,4,1,1,1,18
9860,0,3,1,2.07445238095238,136,0,0,3,1,55,2,1.03,2,1,1,4,1,1,1,34
9861,1,3,0,0,179,0.0799999999999999,1.07380769230769,6.90705798368298,0,0,1,1,1,1,1,3,1,1,1,7
9862,3,3,0,17,244,0,3,3,0,63,2,1.13,2,1,1,4,1,1,1,39
9863,0,3,1,0,143.92439439553,0,0,12,1,23,3,1.045,2.13860592988688,0,0,4,1,1,1,7
9864,1,3,0,8,179,0.0378181818181818,1.27275613275613,7.50689432750348,0,0,1,1,2,1,1,3,1,1,1,39
9865,2,3,1,0,115,0.04,1.60233333333333,5.6608354595596,0,0,1,1,1,1,1,3,1,0,1,7
9866,1,3,1,0,35,0,1,3,1,20,2,1.056,2.10318123023549,0,0,4,1,1,1,34
9867,1,3,0,0,35,0,1,3,5,24,2,1.05,2.11807696797584,0,0,4,1,1,1,34
9868,3,3,2,0,185,0,3,12,2,50,2,1.195,2,1,1,0,1,1,1,39
9869,0,3,0,0,0,0,2,3,0,33,2,1.18,2,1,1,0,1,1,1,39
9870,0,6,2,0,179,0.0566666666666666,0.397003163503164,6.21293295019157,0,0,1,1,2,1,1,3,1,1,1,39
9871,1,3,0,0,35,0,1,3,0,42,2,1.06,2.20379239766082,0,0,4,1,1,1,34
9872,1.33184305334303,3,1,0.429833436082389,133.824012577106,0.208484848484848,1.16166666666667,6.90197954822955,0,0,1,1,1,1,1,3,1,0,1,39
9873,1,3,2,0,265,0.0809523809523809,1,3,2,31,2,1.1,1,1,1,0,1,1,1,7
9874,1,3,0,8,179,0,1,3,0,51,2,1.09,2,2,1,0,1,1,1,39
9875,1,3,1,0,185,0,1,3,1,28,2,1.06,2.1237419576306,0,0,0,1,1,1,39
9876,2,6,1,0,179,0.12,1.65904761904762,7.16144821270683,0,0,1,1.06,1,1,1,0,1,1,1,7
9877,1,3,2,8.41444586717466,187,0,1,12,2,46,2,1.04,2.12385615255938,0,0,4,1,1,1,29.9732752634733
9878,1,3,3,0,35,0,1,3,3,57,2,1.1,2.06165131167648,0,0,0,1,1,1,39
9879,0,3,0,0,0,0,1,3,0,37,4,1.17,1,5,1,0,1,1,1,39
9880,1,3,0,0,265,0,1,12,0,29,2,1.12,1,3,1,4,1,1,1,49
9881,1,3,1,0,185,0,1,1,1,57,2,1.02,2,2,1,4,1,1,1,49
9882,1,15,0,0,244,0,1,14,0,39,2,1.1,2.19070256179301,0,0,4,1,1,1,39
9883,2,1,2,24,267,0,2,3,2,40,2,1.11,1.98859821081751,0,0,0,1,1,1,7
9884,2,3,2,0,132.470573285142,0,3,13,2,21,2,1.23666666666667,1,2,1,0,1,1,1,19
9885,1,6,3,12,179,0,1,3,3,61,3,1.02,1,1,1,7,1,1,1,7
9886,1,6,4,5.05315456674473,194,0,1,3,4,52,2,1.05,2.00212735376027,0,0,7,1,1,1,37
9887,3,14,0,0,115,0,0,3,0,0,2,1.095,2.15905403250381,0,0,0,1,1,1,34
9888,2,3,0,0,265,0,1,13,0,0,2,1.095,1.82288032581454,0,0,0,1,1,1,7
9889,2,14,0,0,203,0,2,3,0,31,2,1.165,2,1,1,0,1,1,1,34
9890,2,3,0,0,35,0.0736207513416814,2,12,0,0,2,1.07666666666667,2.18125714285714,0,0,4,1,1,1,39
9891,2,3,0,0,35,0,2,12,0,24,2,1.13666666666667,2,2,1,4,1,1,1,34
9892,2,0,0,4.37034859876965,194,0,1,12,0,65,2,1.145,2.0423027327255,0,0,1,1,1,1,32.6424322668673
9893,2,3,4,0,194,0,2,3,4,24,2,1.03,2.08017445520955,0,0,4,1,1,1,49
9894,1,3,0,0,152.990540840115,0.0679999999999999,1.09042902769681,5.97999685737817,0,0,1,1,2.16546436931654,0,0,3,1,1,1,34
9895,1,3,0,2.90348588666236,265,0.04,1,12,0,53,2,1.06,2,1,1,4,1,1,1,7
9896,2,6,1,3.90461941542758,201,0,2,3,1,30,2,1.04,2.0005482404225,0,0,7,1,1,1,39
9897,3,3,2,12,244,0,3,12,2,33,3,1.17666666666667,2,2,1,4,1,1,1,7
9898,2,6,0,11,179,0.09,1.86545454545455,7.67471621395037,0,0,1,1.01,1,1,1,3,1,1,1,34
9899,2,3,3,1,194,0,2,12,3,54,2,1.05,2.11067229070738,0,0,4,1,1,1,49
9900,3,3,1,0,185,0,3,12,1,46,2,1.09,2.13270445365107,0,0,4,1,1,1,39
9901,1,14,0,0,121,0,2,3,0,42,2,1.105,2.01848499767245,0,0,0,1,1,1,7
9902,0,3,1,0,158.08603553968,0,0,12,1,44,2,1.04,2.15338386276377,0,0,4,1,1,1,39
9903,3,14,0,0,115,0,0,3,0,26,2,1.0675,2,2,1,0,1,1,1,39
9904,2,3,1,0,163.691740907446,0,2,12,1,31,2,1.09,2,1,1,4,1,1,1,38
9905,2,3,0,11,0,0,1,13,0,39,2,1.33666666666667,2,1,1,0,1,1,1,39
9906,3,3,1,0,168.23603003535,0,3,12,1,27,2,1.14166666666667,2.0872044903967,0,0,4,1,1,1,20
9907,3,7,0,0,179,0.000176991150442357,2.37965742307801,8.98044631844841,0,0,1,1.02,2.04403800147221,0,0,3,1,1,1,19
9908,2,3,1,0,185,0,2,3,1,62,3,1.04,2,2,1,4,1,1,1,38
9909,0,3,2,0,164.470596445944,0,0,3,2,58,2,1.03,2,1,1,4,1,1,1,20
9910,0,3,0,0,152.973167057617,0.0399999999999999,0,6,0,0,2,1.01,2.15251322751323,0,0,3,1,1,1,20
9911,0,3,2,0,185,0,0,3,2,63,2,1.03,2.08170284077326,0,0,4,1,1,1,12
9912,0,3,2,0,115,0,0,3,2,34,3,1.1025,2,3,1,7,1,1,1,41
9913,0,3,1,0,35,0,0,12,1,69,2,1.11,2.02721706931771,0,0,4,1,1,1,37
9914,0,3,2,0,185,0,0,12,2,29,2,1.05,2.13894489781251,0,0,4,1,1,1,39
9915,1,3,0,0,125.923089787641,0.06,1,12,5,0,3,1.01,2,1,1,4,1,1,1,48
9916,1,3,0,17,142.30306547619,0,1,12,0,17,4,1.015,2,1,1,4,1,1,1,39
9917,1,15,0,0,115,0,0,3,0,43,2,1.0875,2,4,1,0,1,1,1,39
9918,0,3,1,0,185,0,0,12,1,54,2,1.03,2,1,1,4,1,1,1,39
9919,1,3,3,24,244,0,1,12,3,56,2,1.04,1.96387338820916,0,0,4,1,1,1,7
9920,3,3,0,0,185,0,3,12,0,0,2,1.07166666666667,2.11848076923077,0,0,4,1,1,1,39
9921,2,1,0,0,267,0,2,3,0,0,2,1.03,2.05666666666667,0,0,7,1,1,1,39
9922,0,3,0,0,179,0.0416216216216215,0.363702372352857,8.64828082183139,0,0,1,1,1.81969696969697,0,0,3,1,1,1,34
9923,0,3,1,0,185,0,0,12,1,21,4,1.095,2,4,1,4,1,1,1,39
9924,1,1,3,1,201,0,1,3,3,49,2,1.115,2.09252944534106,0,0,0,1,1,1,34
9925,1,3,0,0,185,0,1,12,0,0,2,1.03,2.12137112010796,0,0,4,1,1,1,18
9926,1,3,0,3.57519033816425,187,0,1,12,0,49,4,1.04,2,2,1,4,1,1,1,27.134296909184
9927,3,14,0,0,265,0,1,13,0,37,2,1.195,2,4,1,0,1,1,1,7
9928,1,3,0,0,35,0,1,3,5,45,3,1.1,2,2,1,4,1,1,1,39
9929,1,3,1,0,35,0,1,3,1,60,2,1.1,2,1,1,4,1,1,1,37
9930,2,3,0,0,185,0,2,12,0,0,2,1.105,2.02162670262613,0,0,0,1,1,1,7
9931,2,14,0,0,115,0,1,3,0,31,2,1.0875,2,2,1,0,1,1,1,39
9932,2,3,4,0,185,0,2,12,4,30,2,1.08,1,1,1,4,1,1,1,27
9933,2,3,1,0,185,0,2,3,1,41,2,1.05,2,1,1,4,1,1,1,34
9934,3,14,0,0,115,0,0,3,0,0,2,1.095,2.15905403250381,0,0,0,1,1,1,34
9935,3,3,1,0,181,0,3,12,1,50,2,1.17,2,1,1,7,1,1,1,7
9936,1,3,0,0,168.03537868209,0,1,12,0,55,2,1.05,2.15322804054679,0,0,4,1,1,1,7
9937,0,7,0,3.96668764215193,179,0.121153846153846,0.645913570642483,8.74567285880286,0,0,1,1,1.81659219858156,0,0,3,1,1,1,7
9938,2,3,0,0,35,0,2,3,0,22,2,1.13666666666667,2,2,1,4,1,1,1,39
9939,2,3,0,0,35,0,2,12,0,61,2,1.11666666666667,1,1,1,4,1,1,0,28
9940,2,3,2,0,35,0,2,12,2,61,3,1.16666666666667,2,1,1,4,1,1,1,39
9941,2,6,0,0,267,0,2,3,5,60,2,1.01,1.67047163120567,0,0,7,1,1,0,34
9942,1,3,1,0,115,0.211515856236786,1.09727724150192,5.49401090059231,0,0,1,1,2.2063478764919,0,0,3,0,1,1,39
9943,3,10,0,5.12615702371902,194,1,3,3,0,37,2,1.18166666666667,2.16397163120567,0,0,7,1,1,1,28.3573178311192
9944,1,3,0,0,115,0,0,3,0,42,2,1.0675,2.1238716048361,0,0,0,1,1,1,39
9945,2,3,2,0,35,5,2,12,2,37,2,1.22666666666667,2,1,1,4,1,1,1,34
9946,3,6,3,0,115,0,3,3,3,64,2,1.12,1.90237289427177,0,0,7,1,1,1,20
9947,1,15,0,0,171.08792035675,0,1,12,0,64,2,1.06,2.08609868845977,0,0,4,1,1,1,19
9948,2,1,3,0,267,0,2,3,3,30,2,1.06,2.15134996200832,0,0,0,1,1,1,39
9949,2,1,2,0,244,0,2,12,2,24,2,1.04,2.13984781390214,0,0,4,1,1,1,48
9950,3,14,0,0,115,0,2,14,0,0,2,1.145,1.98703210729012,0,0,0,1,1,1,21
9951,0,6,0,0,244,0.0399999999999999,0.500039711021691,8.54856915991093,0,0,1,1,1.81539351851852,0,0,3,1,1,1,48
9952,1.68754076739026,16,0,2.65217948717949,194,0,3,3,0,18,3,1.21666666666667,1,1,1,0,1,1,1,28.482372960373
9953,0,14,0,0,115,0,3,3,0,0,2,1.21666666666667,2.06945808219796,0,0,0,1,1,1,34
9954,2,3,1,0,133.794135613847,0,2,12,1,47,2,1.05,2.16110754470289,0,0,4,1,1,1,7
9955,1,6,3,0,244,0,1,12,3,62,2,1.05,2.03075160029433,0,0,4,1,1,1,38
9956,3,3,2,17,175.965689913777,0,3,12,2,27,3,1.14666666666667,2,2,1,4,1,1,1,39
9957,2,15,3,0,265,0.00999999999999995,1.7884169637552,5.12424232137594,0,0,1,1.02,2,1,1,3,0,1,1,21
9958,0,15,3,0,203,0,0,3,3,33,2,1.06,2,1,1,0,1,1,1,39
9959,1,3,3,0,185,0,1,3,3,36,2,1.03,2.14677421741659,0,0,4,1,1,1,39
9960,1,3,4,6.82992126690705,197,0,1,3,4,30,2,1.06,2,1,1,4,1,1,1,39
9961,0,1,1,0,267,0,0,3,1,36,2,1.04,2,1,1,7,1,1,1,21
9962,2,3,0,8,185,0,2,12,0,0,2,1.03,2.015,0,0,4,1,1,1,34
9963,0,3,0,4.14600566777576,157,0.221153846153846,0.570090345179795,8.34449509484488,0,0,1,1,1.82657692307692,0,0,3,1,1,1,39
9964,0,14,0,0,115,0,2,3,0,37,2,1.1275,2,1,1,0,1,1,1,39
9965,2,3,0,0,165.479055411819,0,2,12,0,45,2,1.08,2,1,1,4,1,1,1,39
9966,1,6,0,3,179,0.0461538461538461,1.17542253540319,8.77298875751949,0,0,1,1,1.96909090909091,0,0,3,1,1,1,7
9967,2,10,1,24,164,0,2,3,1,36,2,1.07,1.92733172690763,0,0,7,1,1,1,21
9968,1,15,0,0,115,0.05,1.23744677561003,5.16738095238095,0,0,1,1.09,1,1,1,0,0,1,1,7
9969,1,3,0,0,185,0,1,3,0,0,2,1.04,2.11727954971857,0,0,4,1,1,1,39
9970,0,14,0,0,115,0,3,3,0,19,2,1.26166666666667,1,2,1,0,1,1,1,34
9971,2,3,4,0,35,0,2,12,4,46,2,1.14666666666667,2,1,1,4,1,1,1,34
9972,3,3,0,0,115,0,2,3,0,20,2,1.14183333333333,2,1,1,0,1,1,1,49
9973,3,14,0,0,115,0,0,3,0,0,2,1.06,2.13098569452403,0,0,0,1,1,1,48
9974,1,3,1,0,185,0,1,3,1,20,2,1.045,2,1,1,4,1,1,0,34
9975,2,3,1,3.15241621431241,56,0.11,2,12,1,39,2,1.15666666666667,2,1,1,4,1,1,1,31.1031911482847
9976,2,3,1,0,182.993052586178,0.00212624584717593,1.87183402082245,8.26217224557272,0,0,1,1.02,1.84406529516995,0,0,3,1,1,1,39
9977,1,3,1,0,194,0.0239444276653578,1.051029088615,9.29897084073639,0,0,1,1,2.23453003875969,0,0,4,1,1,1,39
9978,0.982009803921569,3,1,1.77694788963994,91.9100351512941,0,1,3,1,19,2,1.1,2.15080669123372,0,0,4,1,1,1,39
9979,1,3,0,0,51,0.0199999999999999,1.01951314462237,6.66750335775336,0,0,1,1.04,1,1,1,3,1,1,1,39
9980,1.58630936227241,6,2,1.60467958260442,155.86646575956,0.0399999999999999,1.7813575370229,7.72321657509157,0,0,1,1.05,1.96053588340524,0,0,0,1,1,1,39
9981,0,14,0,0,115,0,3,3,0,44,2,1.305,2,2,1,0,1,1,1,7
9982,1.60832935336993,3,0,0.585356524135027,123.015399574536,-5.09314812546791e-17,1.67114597387167,7.13148705096074,0,0,1,1.115,2,1,1,0,0,1,1,24.0640831439445
9983,1,5,2,0,189.815583460363,0,1,3,2,48,2,1.03,2.02577233939791,0,0,3,1,1,1,39
9984,1,14,0,1,179,0.00499999999999989,1.11261072660964,9.13650415238011,0,0,1,1.02,1.96823529411765,0,0,3,1,1,1,21
9985,1,3,0,0,148.942701851487,0,1,12,0,70,2,1.05,2,1,1,4,1,1,1,21
9986,1,3,0,0,185,0,1,12,0,40,2,1.07,2.20795372903519,0,0,4,1,1,1,39
9987,1,3,0,0,35,0,1,12,0,43,2,1.13,2.21799627721738,0,0,4,1,1,1,39
9988,0,6,0,8,179,0.12,0.664424591462181,7.80557606243522,0,0,1,1,1,1,1,3,0,1,1,48
9989,0,14,0,0,115,0,3,3,0,24,2,1.33666666666667,2,1,1,0,1,1,1,34
9990,3,3,1,0,265,0,3,3,1,47,2,1.175,2.04308995980423,0,0,0,1,1,1,7
9991,1,3,0,0,116,0,2,13,0,47,2,1.175,2,1,1,0,1,1,1,7
9992,2,3,2,0,185,0,2,12,2,37,2,1.05,2,1,1,4,1,1,1,39
9993,1,3,0,4.04983809523809,194,0,1,12,0,54,2,1.05,2,1,1,4,1,1,1,7
9994,2,7,0,0,35,0.0399999999999999,1.9475599036621,7.85415766610875,0,0,1,1.05,2.15032170542636,0,0,3,1,1,1,37
9995,0,14,0,0,115,0,3,3,0,70,2,1.155,1.96974110172888,0,0,0,1,1,1,39
9996,3,14,0,0,265,0,0,3,0,18,3,1.125,0,2,1,0,1,1,1,7
9997,0,3,1,0,115,0,0,3,1,43,2,1.0375,2.1034752761766,0,0,6,1,1,1,39
9998,1,3,0,0,35,0,1,12,5,46,2,1.12,2.14303214991765,0,0,4,1,1,1,49
9999,2,3,2,0.67625402620175,35,-1.96752336645289e-16,2,12,2,45,2,1.15666666666667,2.07323282588852,0,0,4,1,1,1,38
10000,1,14,0,0,0,0,0,14,0,0,2,1.175,1.87227189864187,0,0,0,1,1,1,21
10001,3,14,0,0,115,0,0,3,0,19,2,1.13,1,2,1,0,1,1,1,34
10002,3,14,0,0,115,0,0,3,0,18,2,1.065,2,1,1,0,1,1,1,39
10003,2,15,0,0,115,0,3,3,0,0,2,1.10666666666667,2.19630021666402,0,0,0,1,1,1,39
10004,3,6,2,0,267,0,3,3,2,63,3,1.06,1.9254487823317,0,0,7,1,1,1,39
10005,0,3,0,24,179,0.0848848942751382,1.04937518643641,8.27937411218455,0,0,1,1,1.962,0,0,3,1,1,1,21
10006,1,3,1,0,179,0,2,12,1,36,2,1.11,1,3,1,2,1,1,1,34
10007,2,14,0,0,267,0,2,3,0,55,2,1.09,2,1,1,0,1,1,1,39
10008,0,3,0,0.723830864883832,185,0,0,13,0,26,2,1.06,2.01159382987644,0,0,4,1,1,1,20
10009,2,3,2,0,185,0,2,12,2,52,2,1.12,2,3,1,0,1,1,1,45
10010,3,14,0,0,115,0,0,3,0,34,2,1.0475,2.07707812392821,0,0,0,1,1,1,39
10011,2,3,2,0,185,0,2,3,2,25,3,1.085,2,3,1,4,1,1,1,49
10012,2,3,0,0,115,0,2,3,0,0,2,1.07,2.19167448494168,0,0,0,1,1,1,39
10013,1,3,1,0,161.886782446472,0,1,12,1,34,2,1.06,2,1,1,4,1,1,1,34
10014,2,3,0,0,105,0,2,3,0,31,2,1.0675,1,1,1,4,1,1,0,28
10015,1,6,1,0,179,0,1,3,1,22,2,1.06,2,2,1,0,1,1,1,39
10016,1,3,3,3,185,0,1,3,3,35,2,1.03,2,1,1,4,1,1,1,34
10017,1,3,3,1.64521428571429,265,-6.22418783180478e-17,1,3,3,44,2,1.03,2,1,1,4,1,1,1,39
