V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
E,GOING STRAIGHT,0,APPARENTLY NORMAL,OTHER IMPROPER DRIVING,,,PARKED,0,0,4,,,0,PDO,REAR-END,,,,"HATCHBACK, 4 DOOR"
N,GOING STRAIGHT,0,HAD BEEN DRINKING,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS: OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR  AGGRESSIVE MANNER: RAN OFF ROAD",,,,0,0,1,,B,1,,NON-COLLISION,,,,"SEDAN, 4 DOOR"
E,NOT REPORTED,1,HAD BEEN DRINKING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 2 DOOR"
W,UNKNOWN,0,,HIT AND RUN: UNKNOWN,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,SEDAN
N,GOING STRAIGHT,0,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 4 DOOR"
W,GOING STRAIGHT,1,,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: HIT AND RUN: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 4 DOOR"
E,TURNING RIGHT,1,HAD BEEN DRINKING: OTHER IMPROPER DRIVING,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,E,TURNING RIGHT,1,48,2,,,0,PDO,ANGLE,,,,"SEDAN, 2 DOOR"
S,GOING STRAIGHT,3,,HIT AND RUN,,,,0,0,1,,C,1,,NON-COLLISION,,YES,,
E,GOING STRAIGHT,2,HAD BEEN DRINKING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,PARKED,2,0,6,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,1,,FAILED TO YIELD RIGHT OF WAY: HIT AND RUN,HAD BEEN DRINKING,W,TURNING LEFT,1,25,2,,,0,PDO,ANGLE,,,,CARRY-ALL
E,TURNING LEFT,0,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS: OVER-CORRECTING/OVER-STEERING: RAN OFF ROAD,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,CARRY-ALL
N,GOING STRAIGHT,4,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,N,STOPPED,4,22,2,,B,1,,REAR-END,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,APPARENTLY NORMAL,HIT AND RUN,APPARENTLY NORMAL,N,STOPPED,0,49,2,,,0,PDO,REAR-END,,,,PICKUP
N,GOING STRAIGHT,1,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,STOPPED,1,43,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,4,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,STOPPED,4,21,3,,,0,PDO,REAR-END,,,,UTILITY
N,GOING STRAIGHT,0,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,GOING STRAIGHT,0,24,2,,,0,PDO,REAR-END,,,,"HATCHBACK, 2 DOOR"
S,GOING STRAIGHT,0,HAD BEEN DRINKING,,APPARENTLY NORMAL,S,TURNING LEFT,0,23,3,,C,2,,ANGLE,,,,"SEDAN, 4 DOOR"
S,NOT REPORTED,1,"FELL ASLEEP, FAINTED, FATIGUED, ETC.",FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: RAN OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,C,1,,NON-COLLISION,,,,CARRY-ALL
S,CHANGING LANES,1,APPARENTLY NORMAL,UNSAFE LANE CHANGE,"FELL ASLEEP, FAINTED, FATIGUED, ETC.",S,GOING STRAIGHT,1,16,3,,,0,PDO,ANGLE,,,,VAN
N,NOT REPORTED,0,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 4 DOOR"
W,BACKING UP,1,APPARENTLY NORMAL,UNSAFE BACKING,APPARENTLY NORMAL,W,GOING STRAIGHT,1,23,2,,C,1,,ANGLE,,,,PICKUP
N,NOT REPORTED,0,"FELL ASLEEP, FAINTED, FATIGUED, ETC.",FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"HATCHBACK, 4 DOOR"
S,CHANGING LANES,2,,HIT AND RUN: UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,2,22,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,
N,GOING STRAIGHT,0,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,STOPPED,5,27,2,,,0,PDO,REAR-END,,,,"HARDTOP, 4 DOOR"
N,GOING STRAIGHT,0,INATTENTION/DISTRACTED: DRUG INVOLVEMENT,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: RAN OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,C,1,,NON-COLLISION,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,HAD BEEN DRINKING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,UTILITY
S,GOING STRAIGHT,1,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,S,STOPPED,1,23,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,2,APPARENTLY NORMAL,,APPARENTLY NORMAL,S,GOING STRAIGHT,2,66,2,,C,4,,REAR-END,,,,"SEDAN, 4 DOOR"
E,GOING STRAIGHT,1,HAD BEEN DRINKING,DROVE LEFT OF CENTER,APPARENTLY NORMAL,E,STOPPED,1,36,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,2,HAD BEEN DRINKING,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,STOPPED,2,35,2,,,0,PDO,REAR-END,,,,"HARDTOP, 4 DOOR"
N,GOING STRAIGHT,0,APPARENTLY NORMAL,MADE AN IMPROPER TURN,APPARENTLY NORMAL,N,GOING STRAIGHT,0,35,2,,,0,PDO,UNKNOWN,,,,"SEDAN, 4 DOOR"
N,NOT REPORTED,0,HAD BEEN DRINKING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,HAD BEEN DRINKING,OBJECT AVOIDANCE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 4 DOOR"
S,CHANGING LANES,0,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,5,62,2,,,0,PDO,"SIDESWIPE, MEETING",,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,,DRIVING TOO FAST FOR CONDITIONS: HIT AND RUN,APPARENTLY NORMAL,S,STOPPED,5,53,3,,C,2,,REAR-END,,,,PICKUP
N,GOING STRAIGHT,0,HAD BEEN DRINKING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,C,1,,NON-COLLISION,,,,PICKUP
N,NOT REPORTED,0,HAD BEEN DRINKING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,APPARENTLY NORMAL,N,GOING STRAIGHT,0,42,2,,C,1,,ANGLE,,,,"SEDAN, 4 DOOR"
W,GOING STRAIGHT,0,,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS: OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR  AGGRESSIVE MANNER: HIT AND RUN",APPARENTLY NORMAL,S,GOING STRAIGHT,0,18,2,,B,1,,ANGLE,,,,PICKUP
S,GOING STRAIGHT,0,,HIT AND RUN: UNKNOWN,APPARENTLY NORMAL,S,STOPPED,0,40,2,,,0,PDO,REAR-END,,,,
E,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,W,GOING STRAIGHT,0,46,3,,B,1,,ANGLE,,,,CARRY-ALL
N,NOT REPORTED,0,HAD BEEN DRINKING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,B,1,,NON-COLLISION,,,,CARRY-ALL
N,NOT REPORTED,2,,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: HIT AND RUN: UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,2,47,2,,C,1,,"SIDESWIPE, MEETING",,,,
N,GOING STRAIGHT,4,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,GOING STRAIGHT,4,29,2,,,0,PDO,REAR-END,,,,CARRY-ALL
N,GOING STRAIGHT,4,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,N,STOPPED,4,39,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
E,TRAVELING WRONG WAY,0,HAD BEEN DRINKING,DROVE LEFT OF CENTER,,,PARKED,0,0,2,,,0,PDO,ANGLE,,,,SEDAN
S,CHANGING LANES,3,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,3,40,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,3,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,N,GOING STRAIGHT,3,26,3,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,4,,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,STOPPED,4,23,2,,C,1,,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,2,DRUG INVOLVEMENT,,APPARENTLY NORMAL,S,STOPPED,2,29,2,,,0,PDO,REAR-END,,,,VAN
W,GOING STRAIGHT,0,APPARENTLY NORMAL,,APPARENTLY NORMAL,E,TURNING LEFT,0,31,2,,C,1,,ANGLE,,,,"HATCHBACK, 2 DOOR"
N,GOING STRAIGHT,1,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,S,GOING STRAIGHT,1,28,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
,NOT REPORTED,0,,,APPARENTLY NORMAL,E,GOING STRAIGHT,0,24,2,,C,1,,ANGLE,,,,
E,GOING STRAIGHT,0,,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS: HIT AND RUN",APPARENTLY NORMAL,N,GOING STRAIGHT,0,0,2,,C,1,,ANGLE,,,,
E,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,W,TURNING LEFT,0,34,3,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
N,CHANGING LANES,2,,HIT AND RUN: UNSAFE LANE CHANGE,APPARENTLY NORMAL,N,GOING STRAIGHT,2,40,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,S,TURNING RIGHT,0,20,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
S,UNKNOWN,3,APPARENTLY NORMAL,UNKNOWN,APPARENTLY NORMAL,S,UNKNOWN,3,21,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,PICKUP
W,GOING STRAIGHT,0,,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: HIT AND RUN: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,CARRY-ALL
S,GOING STRAIGHT,3,APPARENTLY NORMAL,EXCEEDED AUTHORIZED SPEED LIMIT: FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: OVER-CORRECTING/OVER-STEERING: RAN OFF ROAD: UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,GOING STRAIGHT,3,54,2,,C,1,,ANGLE,,,,"HATCHBACK, 2 DOOR"
N,GOING STRAIGHT,0,HAD BEEN DRINKING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 4 DOOR"
N,UNKNOWN,0,,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,APPARENTLY NORMAL,,,,,0,0,1,1.0,K,0,,NON-COLLISION,,YES,,CARRY-ALL
W,GOING STRAIGHT,2,APPARENTLY NORMAL,,HAD BEEN DRINKING,W,PARKED,2,35,2,,,0,PDO,NON-COLLISION,,,,CARRY-ALL
E,GOING STRAIGHT,1,INATTENTION/DISTRACTED,OTHER IMPROPER DRIVING,APPARENTLY NORMAL,E,STOPPED,1,31,2,,C,6,,REAR-END,,,,CARRY-ALL
N,GOING STRAIGHT,4,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,GOING STRAIGHT,4,39,3,,C,1,,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,2,HAD BEEN DRINKING,OTHER IMPROPER DRIVING,,,PARKED,2,0,3,,C,1,,ANGLE,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,,,,0,0,1,,B,1,,NON-COLLISION,,,,"HATCHBACK, 2 DOOR"
N,PASSING OTHER VEHICLE,3,OTHER IMPROPER DRIVING,HIT AND RUN: UNSAFE LANE CHANGE,APPARENTLY NORMAL,N,GOING STRAIGHT,3,43,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,"SEDAN, 4 DOOR"
,NOT REPORTED,0,,,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,CONVERTIBLE
E,GOING STRAIGHT,0,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,C,1,,NON-COLLISION,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS: EXCEEDED AUTHORIZED SPEED LIMIT: FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR  AGGRESSIVE MANNER: UNSAFE LANE CHANGE",,,,0,0,1,,C,1,,NON-COLLISION,,,,"SEDAN, 4 DOOR"
N,TURNING LEFT,0,APPARENTLY NORMAL,UNKNOWN,APPARENTLY NORMAL,W,GOING STRAIGHT,0,41,2,,C,1,,ANGLE,,,,VAN
E,GOING STRAIGHT,0,HAD BEEN DRINKING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: OVER-CORRECTING/OVER-STEERING: UNSAFE LANE CHANGE,,,,0,0,1,,B,1,,NON-COLLISION,,,,"SEDAN, 4 DOOR"
W,GOING STRAIGHT,0,APPARENTLY NORMAL,UNKNOWN,APPARENTLY NORMAL,N,GOING STRAIGHT,0,54,2,,C,1,,ANGLE,,,,"SEDAN, 4 DOOR"
W,GOING STRAIGHT,1,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,W,STOPPED,1,61,2,,,0,PDO,REAR-END,,,,"HATCHBACK, 2 DOOR"
N,GOING STRAIGHT,0,,UNKNOWN,APPARENTLY NORMAL,N,STOPPED,0,43,2,,C,1,,REAR-END,,,,PICKUP
S,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,W,GOING STRAIGHT,0,44,2,,B,2,,ANGLE,,,,"HATCHBACK, 4 DOOR"
,GOING STRAIGHT,3,,,,,,0,0,1,,C,1,,NON-COLLISION,,YES,,
N,CHANGING LANES,3,HAD BEEN DRINKING,HIT AND RUN: UNSAFE LANE CHANGE,APPARENTLY NORMAL,N,GOING STRAIGHT,3,46,3,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,"HATCHBACK, 2 DOOR"
,GOING STRAIGHT,3,,,APPARENTLY NORMAL,S,GOING STRAIGHT,3,31,2,,C,1,,REAR-END,,,,VAN
N,GOING STRAIGHT,2,,OBJECT AVOIDANCE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 4 DOOR"
N,NOT REPORTED,2,HAD BEEN DRINKING,UNSAFE LANE CHANGE,APPARENTLY NORMAL,N,GOING STRAIGHT,2,46,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,HAD BEEN DRINKING,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,W,GOING STRAIGHT,0,77,2,,C,1,,ANGLE,,,,"SEDAN, 4 DOOR"
W,GOING STRAIGHT,0,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS: FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,C,1,,NON-COLLISION,,,,CARRY-ALL
E,GOING STRAIGHT,1,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,E,STOPPED,1,45,2,,C,1,,REAR-END,,,,CARRY-ALL
E,GOING STRAIGHT,0,APPARENTLY NORMAL,,APPARENTLY NORMAL,E,STOPPED,0,40,2,,C,1,,REAR-END,,,,CARRY-ALL
S,GOING STRAIGHT,1,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,APPARENTLY NORMAL,S,STOPPED,1,64,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,"TRACTOR TRUCK, DIESEL"
S,GOING STRAIGHT,1,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,S,GOING STRAIGHT,1,27,2,,,0,PDO,REAR-END,,,,"HARDTOP, 4 DOOR"
E,UNKNOWN,0,,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,N,GOING STRAIGHT,0,25,2,,C,1,,ANGLE,,,,PICKUP
S,NOT REPORTED,0,ILLNESS,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: RAN OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,VAN
E,CHANGING LANES,1,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,E,GOING STRAIGHT,1,22,2,,C,1,,REAR-END,,,,PICKUP
W,TURNING LEFT,0,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,APPARENTLY NORMAL,E,STOPPED,0,57,2,,C,3,,ANGLE,,,,CARRY-ALL
N,GOING STRAIGHT,0,,"FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR  AGGRESSIVE MANNER: HIT AND RUN: UNSAFE LANE CHANGE",,,,0,0,1,,C,2,,NON-COLLISION,,,,"SEDAN, 4 DOOR"
W,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,W,GOING STRAIGHT,0,33,2,,,0,PDO,NON-COLLISION,,,,PICKUP
S,GOING STRAIGHT,0,APPARENTLY NORMAL,,,,,0,0,1,,,0,PDO,NON-COLLISION,,YES,,BUS
E,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,S,GOING STRAIGHT,0,42,2,,C,1,,ANGLE,,,,CARRY-ALL
N,GOING STRAIGHT,0,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,PICKUP
E,GOING STRAIGHT,1,HAD BEEN DRINKING,OTHER IMPROPER DRIVING,APPARENTLY NORMAL,E,STOPPED,1,44,2,,C,1,,REAR-END,,,,"SEDAN, 4 DOOR"
E,TURNING LEFT,2,APPARENTLY NORMAL,MADE AN IMPROPER TURN,APPARENTLY NORMAL,N,GOING STRAIGHT,2,62,2,,C,2,,ANGLE,,,,OTHER
W,TURNING LEFT,0,HAD BEEN DRINKING: DRUG INVOLVEMENT,FAILED TO YIELD RIGHT OF WAY: HIT AND RUN,APPARENTLY NORMAL,E,GOING STRAIGHT,0,45,2,,C,1,,ANGLE,,,,PICKUP
N,GOING STRAIGHT,4,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,N,STOPPED,4,33,2,,C,1,,REAR-END,,,,"SEDAN, 4 DOOR"
W,GOING STRAIGHT,1,APPARENTLY NORMAL,OTHER IMPROPER DRIVING,APPARENTLY NORMAL,W,STOPPED,1,35,2,,C,1,,REAR-END,,,,TOW TRUCK/WRECKER
S,OTHER,0,APPARENTLY NORMAL,,APPARENTLY NORMAL,S,STOPPED,0,31,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,CHASSIS AND CAB
E,GOING STRAIGHT,0,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"HATCHBACK, 4 DOOR"
E,GOING STRAIGHT,0,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,E,STOPPED,0,61,2,,,0,PDO,REAR-END,,,,PICKUP
S,GOING STRAIGHT,2,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 4 DOOR"
E,GOING STRAIGHT,0,APPARENTLY NORMAL,UNKNOWN,APPARENTLY NORMAL,S,GOING STRAIGHT,0,62,2,,C,2,,ANGLE,,,,"SEDAN, 2 DOOR"
E,PASSING OTHER VEHICLE,0,,HIT AND RUN,APPARENTLY NORMAL,E,STOPPED,0,54,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,
S,GOING STRAIGHT,2,APPARENTLY NORMAL,,APPARENTLY NORMAL,S,STOPPED,2,47,3,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS: OVER-CORRECTING/OVER-STEERING,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,PICKUP
N,GOING STRAIGHT,4,"FELL ASLEEP, FAINTED, FATIGUED, ETC.",DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,GOING STRAIGHT,4,68,2,,,0,PDO,ANGLE,,,,CARRY-ALL
W,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,E,TURNING LEFT,0,57,2,,B,1,,ANGLE,,,,CARRY-ALL
E,GOING STRAIGHT,0,APPARENTLY NORMAL,,APPARENTLY NORMAL,E,CHANGING LANES,0,31,2,,C,1,,NON-COLLISION,,,,PICKUP
S,GOING STRAIGHT,3,APPARENTLY NORMAL,,,S,GOING STRAIGHT,3,0,2,,,0,PDO,NON-COLLISION,,,,PICKUP
S,NOT REPORTED,0,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,B,1,,NON-COLLISION,,,,"SEDAN, 4 DOOR"
N,NOT REPORTED,2,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,N,GOING STRAIGHT,2,65,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,S,GOING STRAIGHT,5,20,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,3,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,N,GOING STRAIGHT,3,33,3,,C,1,,REAR-END,,,,"SEDAN, 4 DOOR"
S,TURNING RIGHT,0,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 4 DOOR"
E,GOING STRAIGHT,2,,,,,PARKED,2,0,2,,B,1,,REAR-END,,,,MOTORSCOOTER
E,NOT REPORTED,3,APPARENTLY NORMAL,UNSAFE LANE CHANGE,APPARENTLY NORMAL,E,GOING STRAIGHT,3,40,2,,,0,PDO,ANGLE,,,,CARRY-ALL
S,UNKNOWN,2,HAD BEEN DRINKING: DRUG INVOLVEMENT,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: HIT AND RUN: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,PICKUP
W,GOING STRAIGHT,3,APPARENTLY NORMAL,,APPARENTLY NORMAL,W,STOPPED,3,23,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,S,STOPPED,0,48,2,,,0,PDO,REAR-END,,,,VAN
S,GOING STRAIGHT,0,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,C,1,,NON-COLLISION,,,,CARRY-ALL
N,NOT REPORTED,0,APPARENTLY NORMAL,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"HATCHBACK, 2 DOOR"
S,GOING STRAIGHT,1,,HIT AND RUN,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,CARRY-ALL
N,LEAVING PARK POSITION,0,,HIT AND RUN,,,,0,0,1,,,0,PDO,ANGLE,,,,PICKUP
W,GOING STRAIGHT,0,HAD BEEN DRINKING,,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,CARRY-ALL
N,GOING STRAIGHT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,W,GOING STRAIGHT,0,38,2,,B,3,,ANGLE,,,,"SEDAN, 4 DOOR"
