V1_Dir,V1_Action,V1_Lane_Nu,V1_Driver1,V1_Vehicle,V2_Driver1,V2_Dir,V2_Action,V2_Lane_Nu,V2_Driver_,Total_Vehi,Fatalities,Injury_Typ,Injured,Property_D,Crash_Type,Pedalcycli,Pedestrian,Motorcycli,V1_Type
N,NOT REPORTED,0,OTHER IMPROPER DRIVING,FAILED TO YIELD RIGHT OF WAY: MADE AN IMPROPER TURN: FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: HIT AND RUN: UNSAFE LANE CHANGE,APPARENTLY NORMAL,N,GOING STRAIGHT,0,19,2,,C,1,,ANGLE,,,,"SEDAN, 4 DOOR"
S,NOT REPORTED,3,,UNKNOWN,APPARENTLY NORMAL,S,GOING STRAIGHT,3,63,2,,,0,PDO,"SIDESWIPE, OVERTAKING",,,,"HATCHBACK, 4 DOOR"
E,GOING STRAIGHT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,W,GOING STRAIGHT,0,0,2,,,0,PDO,ANGLE,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,APPARENTLY NORMAL,"DISREGARDED TRAFFIC SIGNS, SIGNALS, ROAD MARKINGS",APPARENTLY NORMAL,W,TURNING LEFT,0,36,2,,C,1,,ANGLE,,,,"SEDAN, 4 DOOR"
S,LEAVING PARK POSITION,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,N,GOING STRAIGHT,0,37,2,,C,1,,ANGLE,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,4,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,N,GOING STRAIGHT,4,35,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
N,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,S,GOING STRAIGHT,0,19,2,,B,3,,ANGLE,,,,"SEDAN, 4 DOOR"
E,GOING STRAIGHT,0,APPARENTLY NORMAL,,APPARENTLY NORMAL,E,STOPPED,0,0,2,,,0,PDO,REAR-END,,,,"HARDTOP, 4 DOOR"
E,GOING STRAIGHT,2,HAD BEEN DRINKING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: RAN OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,B,1,,NON-COLLISION,,,,"SEDAN, 4 DOOR"
W,GOING STRAIGHT,3,APPARENTLY NORMAL,OTHER IMPROPER DRIVING,APPARENTLY NORMAL,W,STOPPED,3,37,2,,C,1,,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,0,APPARENTLY NORMAL,OTHER IMPROPER DRIVING,APPARENTLY NORMAL,S,STOPPED,0,51,3,,,0,PDO,REAR-END,,,,UTILITY
E,TURNING LEFT,0,APPARENTLY NORMAL,FAILED TO YIELD RIGHT OF WAY,APPARENTLY NORMAL,W,GOING STRAIGHT,0,30,2,,C,2,,ANGLE,,,,CARRY-ALL
N,GOING STRAIGHT,1,,FOLLOWED TOO CLOSELY: HIT AND RUN,APPARENTLY NORMAL,N,STOPPED,1,30,3,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,4,HAD BEEN DRINKING,FAILURE TO KEEP IN PROPER LANE OR RUNNING OFF ROAD: UNSAFE LANE CHANGE,,,,0,0,1,,C,1,,NON-COLLISION,,,,PICKUP
N,GOING STRAIGHT,2,APPARENTLY NORMAL,DRIVING TOO FAST FOR CONDITIONS,APPARENTLY NORMAL,N,GOING STRAIGHT,2,22,2,,A,3,,REAR-END,,,,PICKUP
N,GOING STRAIGHT,0,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,GOING STRAIGHT,0,19,2,,C,1,,REAR-END,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,STOPPED,5,26,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,1,APPARENTLY NORMAL,,,,,0,0,1,,,0,PDO,NON-COLLISION,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,0,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,GOING STRAIGHT,0,36,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,4,APPARENTLY NORMAL,,APPARENTLY NORMAL,S,STOPPED,4,47,3,,C,1,,REAR-END,,,,"SEDAN, 2 DOOR"
N,GOING STRAIGHT,0,HAD BEEN DRINKING,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,N,STOPPED,5,46,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
N,GOING STRAIGHT,1,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,STOPPED,1,19,2,,C,2,,REAR-END,,,,PICKUP
N,GOING STRAIGHT,0,APPARENTLY NORMAL,,APPARENTLY NORMAL,N,GOING STRAIGHT,0,59,5,,C,2,,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,1,HAD BEEN DRINKING,,APPARENTLY NORMAL,S,STOPPED,1,25,2,,,0,PDO,REAR-END,,,,"HARDTOP, 4 DOOR"
S,GOING STRAIGHT,3,APPARENTLY NORMAL,,APPARENTLY NORMAL,S,STOPPED,3,30,2,,B,1,,REAR-END,,,,"HATCHBACK, 2 DOOR"
S,GOING STRAIGHT,2,APPARENTLY NORMAL,,,E,STOPPED,2,0,2,,,0,PDO,REAR-END,,,,"SEDAN, 4 DOOR"
S,GOING STRAIGHT,3,APPARENTLY NORMAL,FOLLOWED TOO CLOSELY,APPARENTLY NORMAL,S,STOPPED,3,25,3,,,0,PDO,REAR-END,,,,CARRY-ALL
